"mcp_code","mcp_name","province","region","year","month","mean_monthly","total_monthly"
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2020,11,8.3,249
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2020,12,4.67741935483871,145
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,1,3.93548387096774,122
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,2,3.82142857142857,107
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,3,5.48387096774194,170
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,4,4.7,141
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,5,5.90322580645161,183
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,6,2.43333333333333,73
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,7,3.06451612903226,95
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,8,2.67741935483871,83
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,9,2,60
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,10,9.61290322580645,298
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,11,28.6,858
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2021,12,23.8064516129032,738
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2022,1,79.2258064516129,2456
11024,"Kontich","Antwerpen","Flanders",2020,9,2.26666666666667,68
11024,"Kontich","Antwerpen","Flanders",2020,10,8.83870967741935,274
11024,"Kontich","Antwerpen","Flanders",2020,11,5.16666666666667,155
11024,"Kontich","Antwerpen","Flanders",2020,12,3.16129032258065,98
11024,"Kontich","Antwerpen","Flanders",2021,1,2.29032258064516,71
11024,"Kontich","Antwerpen","Flanders",2021,2,1.92857142857143,54
11024,"Kontich","Antwerpen","Flanders",2021,3,5.80645161290323,180
11024,"Kontich","Antwerpen","Flanders",2021,4,4.5,135
11024,"Kontich","Antwerpen","Flanders",2021,5,3.61290322580645,112
11024,"Kontich","Antwerpen","Flanders",2021,6,1.53333333333333,46
11024,"Kontich","Antwerpen","Flanders",2021,7,2.67741935483871,83
11024,"Kontich","Antwerpen","Flanders",2021,8,2.67741935483871,83
11024,"Kontich","Antwerpen","Flanders",2021,9,3.2,96
11024,"Kontich","Antwerpen","Flanders",2021,10,8.41935483870968,261
11024,"Kontich","Antwerpen","Flanders",2021,11,26,780
11024,"Kontich","Antwerpen","Flanders",2021,12,14.6774193548387,455
11024,"Kontich","Antwerpen","Flanders",2022,1,71.6451612903226,2221
11025,"Lint","Antwerpen","Flanders",2020,9,1.06666666666667,32
11025,"Lint","Antwerpen","Flanders",2020,10,3.83870967741935,119
11025,"Lint","Antwerpen","Flanders",2020,11,1.76666666666667,53
11025,"Lint","Antwerpen","Flanders",2020,12,1.29032258064516,40
11025,"Lint","Antwerpen","Flanders",2021,1,2.51612903225806,78
11025,"Lint","Antwerpen","Flanders",2021,2,1.17857142857143,33
11025,"Lint","Antwerpen","Flanders",2021,3,2.74193548387097,85
11025,"Lint","Antwerpen","Flanders",2021,4,1.13333333333333,34
11025,"Lint","Antwerpen","Flanders",2021,5,1.64516129032258,51
11025,"Lint","Antwerpen","Flanders",2021,6,0.733333333333333,22
11025,"Lint","Antwerpen","Flanders",2021,7,1.7741935483871,55
11025,"Lint","Antwerpen","Flanders",2021,8,1.06451612903226,33
11025,"Lint","Antwerpen","Flanders",2021,9,1,30
11025,"Lint","Antwerpen","Flanders",2021,10,4.35483870967742,135
11025,"Lint","Antwerpen","Flanders",2021,11,9.93333333333333,298
11025,"Lint","Antwerpen","Flanders",2021,12,7.67741935483871,238
11025,"Lint","Antwerpen","Flanders",2022,1,27.7741935483871,861
11029,"Mortsel","Antwerpen","Flanders",2020,9,3.1,93
11029,"Mortsel","Antwerpen","Flanders",2020,10,10.1290322580645,314
11029,"Mortsel","Antwerpen","Flanders",2020,11,5.86666666666667,176
11029,"Mortsel","Antwerpen","Flanders",2020,12,3.54838709677419,110
11029,"Mortsel","Antwerpen","Flanders",2021,1,3.54838709677419,110
11029,"Mortsel","Antwerpen","Flanders",2021,2,3.21428571428571,90
11029,"Mortsel","Antwerpen","Flanders",2021,3,5.29032258064516,164
11029,"Mortsel","Antwerpen","Flanders",2021,4,6.7,201
11029,"Mortsel","Antwerpen","Flanders",2021,5,5.87096774193548,182
11029,"Mortsel","Antwerpen","Flanders",2021,6,1.7,51
11029,"Mortsel","Antwerpen","Flanders",2021,7,3.93548387096774,122
11029,"Mortsel","Antwerpen","Flanders",2021,8,3.19354838709677,99
11029,"Mortsel","Antwerpen","Flanders",2021,9,3.93333333333333,118
11029,"Mortsel","Antwerpen","Flanders",2021,10,12.9677419354839,402
11029,"Mortsel","Antwerpen","Flanders",2021,11,32.1666666666667,965
11029,"Mortsel","Antwerpen","Flanders",2021,12,21.5161290322581,667
11029,"Mortsel","Antwerpen","Flanders",2022,1,85.6774193548387,2656
11030,"Niel","Antwerpen","Flanders",2020,9,2.03333333333333,61
11030,"Niel","Antwerpen","Flanders",2020,10,6.06451612903226,188
11030,"Niel","Antwerpen","Flanders",2020,11,3.43333333333333,103
11030,"Niel","Antwerpen","Flanders",2020,12,1.12903225806452,35
11030,"Niel","Antwerpen","Flanders",2021,1,1.64516129032258,51
11030,"Niel","Antwerpen","Flanders",2021,2,1.64285714285714,46
11030,"Niel","Antwerpen","Flanders",2021,3,3.87096774193548,120
11030,"Niel","Antwerpen","Flanders",2021,4,2.63333333333333,79
11030,"Niel","Antwerpen","Flanders",2021,5,1.90322580645161,59
11030,"Niel","Antwerpen","Flanders",2021,6,0.733333333333333,22
11030,"Niel","Antwerpen","Flanders",2021,7,2,62
11030,"Niel","Antwerpen","Flanders",2021,8,2.51612903225806,78
11030,"Niel","Antwerpen","Flanders",2021,9,2,60
11030,"Niel","Antwerpen","Flanders",2021,10,3.32258064516129,103
